,study_id,analysis_id,analysis_summary,analysis_type,chromatography system,column_name,chromatography_type,ms_instrument_name,ms_instrument_type,ms_type,ion_mode,nmr_instrument_type,nmr_experiment_type,spectrometer_frequency,nmr_solvent,units
ST003241_0,ST003241,AN005309,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Perkin Elmer Brownlee SPP C18 (75 × 2.1mm, 2.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Normalized to the median value of total lipid signals
ST003241_1,ST003241,AN005310,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Perkin Elmer Brownlee SPP C18 (75 × 2.1mm, 2.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Normalized to the median value of total lipid signals
ST001765,ST001765,AN002872,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"EMD Millipore ZIC HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ppm
ST002586,ST002586,AN004258,GC POSITIVE ION MODE,MS,Agilent 7890A,"Agilent DB5-MS (30m x 0.25mm, 0.25um)",GC,Agilent 5975C,Single quadrupole,EI,POSITIVE,,,,,intensity
ST000004_0,ST000004,AN000004,Fatty acid/eicosanoid MS quantitative analysis with deuterated standards,MS,,,,-,-,ESI,-,,,,,pmol/ml
ST000004_1,ST000004,AN000005,Phospholipid MS quantitative analysis with odd-chain standards,MS,,,,-,-,ESI,-,,,,,pmol/ml
ST000004_2,ST000004,AN000006,Sphingolipid MS quantitative analysis with C12 standards,MS,,,,-,-,ESI,-,,,,,nmol/ml
ST000004_3,ST000004,AN000007,Sterol MS quantitative analysis with deuterated standards,MS,,,,-,-,ESI,-,,,,,nmol/ml
ST000004_4,ST000004,AN000008,Prenol/Cardiolipin MS quantitative analysis,MS,,,,-,-,ESI,-,,,,,pmol/ml
ST000004_5,ST000004,AN000009,Triacylglycerol MS quantitative analysis with deuterated standards,MS,,,,-,-,ESI,-,,,,,pmol/ml
ST000004_6,ST000004,AN000010,Diacylglycerol MS quantitative analysis with deuterated standards,MS,,,,-,-,ESI,-,,,,,pmol/ml
ST000004_7,ST000004,AN000011,Cholesteryl Ester MS quantitative analysis with deuterated standards,MS,,,,-,-,ESI,-,,,,,umol/ml
ST001789_0,ST001789,AN002901,HILIC UNSPECIFIED ION MODE,MS,Shimadzu 20AD,"Shodex NH2P-40 2E (250 x 2mm,4um)",HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,peak area
ST001789_1,ST001789,AN002902,Reversed phase UNSPECIFIED ION MODE,MS,Shimadzu 20AD,"Raptor Biphenyl (150 × 2.1 mm,2.7um)",Reversed phase,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,peak area
ST001451_0,ST001451,AN002425,Normal phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Phenomenex Luna Silica (150 x 2.0mm,3um)",Normal phase,Thermo Fusion Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,pmol/mg
ST001451_1,ST001451,AN002426,Reversed phase POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Phenomenex Luna Silica (150 x 1.0mm,3um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,pmol/umol
ST003132_0,ST003132,AN005139,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2.1mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Raw Peak Area
ST003132_1,ST003132,AN005140,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2.1mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Raw Peak Area
ST003132_2,ST003132,AN005141,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2.1mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Raw Peak Area
ST003132_3,ST003132,AN005142,HILIC NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm, 1.7um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Raw Peak Area
ST002003,ST002003,AN003266,HILIC POSITIVE ION MODE,MS,Agilent 6600,"Waters Acquity UPLC BEH amide,(150 x 2.1mm,1.7um)",HILIC,Agilent 6560 Ion Mobility,TTOF,ESI,POSITIVE,,,,,normalized peak height
ST002019,ST002019,AN003289,None (Direct infusion) UNSPECIFIED ION MODE,MS,none,none,Unspecified,Thermo Q Exactive Orbitrap,Other,ESI,UNSPECIFIED,,,,,scaled imputed
ST002937_0,ST002937,AN004817,Reversed phase POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,Agilent Zorbax SBaq (50 x 2.1mm x 1.7 um),Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Relative Abundance
ST002937_1,ST002937,AN004818,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,Agilent Zorbax SBaq (50 x 2.1mm x 1.7 um),Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Relative Abundance
ST002937_2,ST002937,AN004819,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"Merck SeQuant ZIC-HILIC (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Relative Abundance
ST002937_3,ST002937,AN004820,HILIC NEGATIVE ION MODE,MS,Thermo Vanquish,"Merck SeQuant ZIC-HILIC (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Relative Abundance
ST002937_4,ST002937,AN004821,None (Direct infusion) POSITIVE ION MODE,MS,Shimazdu LC-30AD,None,None (Direct infusion),ABI Sciex 5500 QTrap,Triple quadrupole,ESI,POSITIVE,,,,,Relative Abundance
ST002937_5,ST002937,AN004822,None (Direct infusion) NEGATIVE ION MODE,MS,Shimazdu LC-30AD,None,None (Direct infusion),ABI Sciex 5500 QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,Relative Abundance
ST000231_0,ST000231,AN000345,ESI negative ion mode,MS,,,,Agilent 6220 TOF,TOF,ESI,NEGATIVE,,,,,Peak area
ST000231_1,ST000231,AN000346,ESI positive ion mode,MS,,,,Agilent 6220 TOF,TOF,ESI,POSITIVE,,,,,Peak area
ST001703,ST001703,AN002774,GC UNSPECIFIED ION MODE,MS,Leco Pegasus IV GC,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco Pegasus IV TOF,GC-TOF,EI,UNSPECIFIED,,,,,normalized peak height
ST003107,ST003107,AN005086,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"Merck SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Thermo Orbitrap ID-X Tribrid,Orbitrap,ESI,UNSPECIFIED,,,,,area analyzed by Compound Discoverer (counts x seconds)
ST001719,ST001719,AN002802,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive HF-X Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Peak Area
ST002632,ST002632,AN004304,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity HSS T3 (100 x 2.1mm, 1.8um)",Reversed phase,Agilent 6545 QTOF,QTOF,ESI,NEGATIVE,,,,,peak area
ST002685,ST002685,AN004358,Reversed phase POSITIVE ION MODE,MS,Vanquish horizon LC,"Thermo Accucore C30 (100 x 2.1mm,2.6um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak area
ST000777_0,ST000777,AN001228,C18 NEGATIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,peak area normalized
ST000777_1,ST000777,AN001229,C18 POSITIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,POSITIVE,,,,,peak area normalized
ST002455,ST002455,AN004005,Reversed phase UNSPECIFIED ION MODE,MS,Shimadzu Nexera X2,"Phenomenex Kinetex C18 (150 x 2.1mm,1.7um)",Reversed phase,ABI Sciex 4000 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,intensity
ST002817_0,ST002817,AN004584,Reversed phase POSITIVE ION MODE,MS,Agilent 1290,"Waters ACQUITY UPLC CSH C18 (100 x 1mm,1.7um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,peak heights
ST002817_1,ST002817,AN004585,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290,"Waters ACQUITY UPLC CSH C18 (100 x 1mm,1.7um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,peak heights
ST002817_2,ST002817,AN004586,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,raw area counts rescaled to set the median equal to 1
ST001178_0,ST001178,AN001954,None (Direct infusion) POSITIVE ION MODE,MS,none,none,None (Direct infusion),Agilent CE-TOFMS,TOF,ESI,POSITIVE,,,,,Relative Area
ST001178_1,ST001178,AN001955,None (Direct infusion) NEGATIVE ION MODE,MS,none,none,None (Direct infusion),Agilent CE-TOFMS,TOF,ESI,NEGATIVE,,,,,fold
ST003262,ST003262,AN005346,HILIC UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000,"Water's Xbridge amide (100 x 3mm, 3.5 um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Peak area
ST003027_0,ST003027,AN004962,Normal phase POSITIVE ION MODE,MS,Waters Acquity H-Class,"Waters ACQUITY UPLC BEH HILIC (150 x 2.1mm,1.7um)",Normal phase,ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,POSITIVE,,,,,m/z
ST003027_1,ST003027,AN004963,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity H-Class,"Waters ACQUITY UPLC BEH HILIC (150 x 2.1mm,1.7um)",Reversed phase,ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,NEGATIVE,,,,,m/z
ST000946_0,ST000946,AN001552,Other NEGATIVE ION MODE,MS,Agilent 6530,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,NEGATIVE,,,,,Counts
ST000946_1,ST000946,AN001553,Other POSITIVE ION MODE,MS,Agilent 6530,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,Counts
ST000311_0,ST000311,AN000494,POSITIVE ION MODE/Peak Area,MS,Thermo Dionex Ultimate 3000,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak Area
ST000311_1,ST000311,AN000495,NEGATIVE ION MODE/Peak Area,MS,Thermo Dionex Ultimate 3000,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak Area
ST000311_2,ST000311,AN000496,POSITIVE ION MODE/Peak Height,MS,Thermo Dionex Ultimate 3000,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak height
ST000311_3,ST000311,AN000497,NEGATIVE ION MODE/Peak Height,MS,Thermo Dionex Ultimate 3000,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak height
ST002012,ST002012,AN003286,GC UNSPECIFIED ION MODE,MS,Gerstel CIS4 –with dual MPS Injector/ Agilent 6890 GC- Pegasus III TOF MS,Rtx-5Sil MS,GC,Leco Pegasus IV TOF,GC-TOF,EI,UNSPECIFIED,,,,,normalized peak height
ST002837_0,ST002837,AN004637,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Relative Abundance
ST002837_1,ST002837,AN004638,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Relative Abundance
ST002837_2,ST002837,AN004639,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Relative Abundance
ST002837_3,ST002837,AN004640,HILIC NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm, 1.7um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Relative Abundance
ST000328_0,ST000328,AN000523,Reversed phase POSITIVE ION MODE,MS,Unspecified,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,Peak height
ST000328_1,ST000328,AN000524,Reversed phase NEGATIVE ION MODE,MS,Unspecified,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Peak height
ST001759,ST001759,AN002866,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"EMD Millipore ZIC HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ppm
ST002556,ST002556,AN004211,GC POSITIVE ION MODE,MS,Leco Pegasus IV GC,"Restek Rtx-5Sil MS (30m x 0.25mm, 0.25um)",GC,Leco Pegasus IV TOF,GC-TOF,EI,POSITIVE,,,,,peak heights
ST001332,ST001332,AN002221,Reversed phase UNSPECIFIED ION MODE,MS,Shimadzu 20AD,"Waters Acquity UPLC CSH C18(50 x 2.1mm ,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Area ratio
ST001958,ST001958,AN003193,Reversed phase UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000,"Thermo Acclaim 120 C18 (150 x 2.1mm,3um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,normalized area values
ST002160,ST002160,AN003539,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive HF-X Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Normalized MS Peak Area
ST002217,ST002217,AN003626,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive HF-X Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Normalized Peak Area
ST002348,ST002348,AN003833,GC UNSPECIFIED ION MODE,MS,Shimadzu GC-2010,"J&W DB-5 (30 m × 0.25mm,1.00um)",GC,Shimazu TQ8040,Triple quadrupole,EI,UNSPECIFIED,,,,,a.u.
ST002369,ST002369,AN003864,None (Direct infusion) UNSPECIFIED ION MODE,MS,Shimadzu TQ8050NX,Agilent DB5-MS (30m),None (Direct infusion),Shimadzu TQ8050NX,Triple quadrupole,ESI,UNSPECIFIED,,,,,area
ST001345,ST001345,AN002239,None (Direct infusion) UNSPECIFIED ION MODE,MS,none,none,None (Direct infusion),ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,nmol per 10e7 cells
ST002744_0,ST002744,AN004449,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Agilent Zorbax Eclipse Plus C18 (100 x 2.1mm, 1.8 um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,POSITIVE,,,,,Ion abundance
ST002744_1,ST002744,AN004450,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290 Infinity II,"Agilent Zorbax Eclipse Plus C18 (100 x 2.1mm, 1.8 um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Ion abundance
ST003114_0,ST003114,AN005102,None (Direct infusion) POSITIVE ION MODE,MS,Advion TriVersa NanoMate,None,None (Direct infusion),ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,POSITIVE,,,,,counts per second (cps)
ST003114_1,ST003114,AN005103,Normal phase POSITIVE ION MODE,MS,Agilent 1260,"Macherey-Nagel Nucleosil NH2 (50×2 mm, 3 um, 120 Å)",Normal phase,ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,POSITIVE,,,,,counts per second (cps)
ST003114_2,ST003114,AN005104,Reversed phase POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH Shield RP18 (100×2.1 mm, 1.7 um)",Reversed phase,ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,POSITIVE,,,,,counts per second (cps)
ST003114_3,ST003114,AN005105,Reversed phase NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Phenomenex Core-Shell Kinetex Biphenyl (100×3.0 mm, 2.6 um, 100 Å)",Reversed phase,ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,NEGATIVE,,,,,counts per second (cps)
ST002101_0,ST002101,AN003434,Reversed phase POSITIVE ION MODE,MS,SCIEX ExionLC AD,"Phenomenex Kinetex C18(100 x 3.0mm,2.6m)",Reversed phase,ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,POSITIVE,,,,,counts
ST002101_1,ST002101,AN003435,Reversed phase NEGATIVE ION MODE,MS,SCIEX ExionLC AD,"Phenomenex Kinetex C18(100 x 3.0mm,2.6m)",Reversed phase,ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,NEGATIVE,,,,,counts
ST001772,ST001772,AN002879,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"EMD Millipore ZIC HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ppm
ST001300_0,ST001300,AN002164,Other POSITIVE ION MODE,MS,Agilent 7100 CE,"Fused-silica,50um(cation)",CE,Agilent G3250AA TOF,Other,ESI,POSITIVE,,,,,nmol/g
ST001300_1,ST001300,AN002165,Other NEGATIVE ION MODE,MS,Agilent 7100 CE,"COSMO(+),50um(anion",CE,Agilent G3250AA TOF,Other,ESI,NEGATIVE,,,,,nmol/g
ST002024,ST002024,AN003294,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters XSelect HSS (100 x 2.1mm,2.5um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,"Peak Abundance (normalized, blank subtracted, and corrected for baseline noise)"
ST002075,ST002075,AN003382,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"Waters Acquity UPLC BEH amide,(150 x 2.1mm,1.7um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak height
ST000105_0,ST000105,AN000173,MS Q-TOF 6530 positive ion mode,MS,Agilent 1200,Waters Acquity HSS T3,Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,Counts
ST000105_1,ST000105,AN000174,ESI negative ion mode,MS,Agilent 1200,Waters Acquity HSS T3,Reversed phase,Agilent 6530 QTOF,QTOF,ESI,NEGATIVE,,,,,Counts
ST001363,ST001363,AN002269,Reversed phase POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Normalised peak area
ST001470,ST001470,AN002446,Targeted IC NEGATIVE ION MODE,MS,Thermo Dionex ICS-5000+,"Dionex IonPac AS11-HC (250 x 2mm,4um)",Ion exchange,Orbitrap Fusion,IC-FTMS,ESI,NEGATIVE,,,,,abundance & normalized peak area
ST001869,ST001869,AN003031,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,relative value
ST002407,ST002407,AN003924,HILIC NEGATIVE ION MODE,MS,Thermo Vanquish,HILIC BEH Amide,HILIC,Thermo Q Exactive HF-X Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak Height
ST002952_0,ST002952,AN004848,GC POSITIVE ION MODE,MS,Agilent 7890,"Restek Rtx-5Sil MS (30m x 0.25mm, 0.25um)",GC,Leco Pegasus IV TOF,GC-TOF,EI,POSITIVE,,,,,peak heights
ST002952_1,ST002952,AN004849,GC POSITIVE ION MODE,MS,Agilent 7890,"Restek Rtx-5Sil MS (30m x 0.25mm, 0.25um)",GC,Leco Pegasus IV TOF,GC-TOF,EI,POSITIVE,,,,,ng/mg
ST000076_0,ST000076,AN000121,FTMS negative ion mode,MS,,,GC,Thermo LTQ-FT,Single quadrupole,ESI,NEGATIVE,,,,,normalized corrected Peak area
ST000076_1,ST000076,AN000122,GCMS positive ion mode,MS,,,GC,Thermo ITQ,GC-ITQ,EI,POSITIVE,,,,,Peak area
ST000750_0,ST000750,AN001176,Reversed phase NEGATIVE ION MODE,MS,Agilent,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,NEGATIVE,,,,,peak area
ST000750_1,ST000750,AN001177,Reversed phase POSITIVE ION MODE,MS,Agilent,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,peak area
ST001344,ST001344,AN002238,None (Direct infusion) UNSPECIFIED ION MODE,MS,none,none,None (Direct infusion),ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,nmol per 10e7 cells
ST001455,ST001455,AN002430,NMR data,NMR,,,,,,,,FT-NMR,PRESAT (1H1D),600 MHz,D20,normalized peak area
ST002140_0,ST002140,AN003501,Ion Chromatography NEGATIVE ION MODE,MS,ThermoDionexICS3000,ThermoDionexAS11/AG11,Ion Chromatography,ABI Sciex 3200 QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,mol%
ST002140_1,ST002140,AN003502,None (Direct infusion) POSITIVE ION MODE,MS,TriVersa NanoMate,TriVersa NanoMate,None (Direct infusion),ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,POSITIVE,,,,,pmol/10E6 cells
ST002349_0,ST002349,AN004095,Normal phase POSITIVE ION MODE,MS,Agilent Model 1290 Infinity II liquid chromatography system,"Cogent Diamond Hydride (150 × 2.1 mm, 4um)",Normal phase,Agilent 6550 QTOF,QTOF,ESI,POSITIVE,,,,,Ion counts
ST002349_1,ST002349,AN004096,Normal phase NEGATIVE ION MODE,MS,Agilent Model 1290 Infinity II liquid chromatography system,"Cogent Diamond Hydride (150 × 2.1 mm, 4um)",Normal phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Ion counts
ST002708,ST002708,AN004390,HILIC UNSPECIFIED ION MODE,MS,Vanquish™ Flex UHPLC,"Merck SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,a.u.
ST003051_0,ST003051,AN005002,Reversed phase POSITIVE ION MODE,MS,Shimadzu LC-30,"Waters ACQUITY UPLC HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,POSITIVE,,,,,counts
ST003051_1,ST003051,AN005003,Reversed phase NEGATIVE ION MODE,MS,Shimadzu LC-30,"Waters ACQUITY UPLC HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,counts
ST002459_0,ST002459,AN004011,Reversed phase POSITIVE ION MODE,MS,Agilent 6550,"Agilent Zorbax StableBond Aq (50 x 2.1mm,1.8um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,POSITIVE,,,,,Ion abundance
ST002459_1,ST002459,AN004012,Reversed phase NEGATIVE ION MODE,MS,Agilent 6550,"Agilent ZORBAX Eclipse Plus C18 (50 x 2.1mm,1.8um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Ion abundance
ST002459_2,ST002459,AN004013,HILIC POSITIVE ION MODE,MS,Agilent 6550,"SeQuant ZIC-HILIC (100 x 2.1mm,3.5um)",HILIC,Agilent 6545 QTOF,QTOF,ESI,POSITIVE,,,,,Ion abundance
ST001773,ST001773,AN002880,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"EMD Millipore ZIC HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ppm
ST000986,ST000986,AN001612,Reversed phase POSITIVE ION MODE,MS,Agilent 6560,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6560 Ion Mobility,QTOF,ESI,POSITIVE,,,,,nanograms (absolute)
ST003181,ST003181,AN005225,Reversed phase UNSPECIFIED ION MODE,MS,Shimadzu Nexera X2,"Merck Discovery HS F5 (PFP) (150 x 2.1mm,3um)",Reversed phase,Shimadzu LCMS-IT-TOF,Triple quadrupole,ESI,UNSPECIFIED,,,,,Peak area
ST002956_0,ST002956,AN004853,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Thermo Accucore C30 column (250 x 2.1 mm, 2.6 µm)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Log2(Top Peak Area)
ST002956_1,ST002956,AN004854,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Thermo Accucore C30 column (250 x 2.1 mm, 2.6 µm)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Log2(Top Peak Area)
ST002956_2,ST002956,AN004855,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"SeQuant ZIC- pHILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Log2(Top Peak Area)
ST002956_3,ST002956,AN004856,Ion pair NEGATIVE ION MODE,MS,Thermo Vanquish,"Agilent Zorbax Extend C18 column (150 x 2.1 mm, 1.8 µm)",Ion pair,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Log2(Top Peak Area)
